City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,campina verde,-19.5356,-49.4864,291.3,59,0,4.19,BR,1667640691
281,bronnoysund,65.4625,12.1997,282.15,76,75,9.83,NO,1667640693
282,kruisfontein,-34.0033,24.7314,294.99,66,92,4.64,ZA,1667640694
283,carangola,-20.7331,-42.0294,287.48,90,78,0.28,BR,1667640468
284,esperance,-33.8667,121.9,288.05,71,3,5.07,AU,1667640697
285,olinda,-8.0089,-34.8553,298.0,83,20,1.54,BR,1667640700
286,malya,-2.9833,33.5167,302.67,33,95,3.72,TZ,1667640701
287,palauig,15.435,119.9045,300.51,78,45,1.37,PH,1667640703
288,longyearbyen,78.2186,15.6401,270.06,93,40,4.12,SJ,1667640704
289,estelle,29.8458,-90.1067,298.15,84,100,4.63,US,1667640706
290,palmer,42.1584,-72.3287,290.56,81,100,0.0,US,1667640707
291,la tuque,47.4334,-72.7824,287.29,67,99,3.6,CA,1667640609
292,rock sound,24.9,-76.2,299.87,64,2,7.88,BS,1667640710
293,bathsheba,13.2167,-59.5167,299.49,89,40,7.72,BB,1667640711
294,alta floresta,-9.8756,-56.0861,296.72,63,100,0.93,BR,1667640713
295,buin,-33.7333,-70.75,290.99,79,2,0.85,CL,1667640714
296,kon tum,14.35,108.0,295.52,90,58,1.38,VN,1667640715
297,ust-ishim,57.6935,71.1665,273.07,81,100,6.03,RU,1667640717
298,rio gallegos,-51.6226,-69.2181,282.18,87,0,2.57,AR,1667640718
299,fairbanks,64.8378,-147.7164,263.13,86,100,3.09,US,1667640473
300,aveiras de cima,39.138,-8.8993,287.04,83,19,1.36,PT,1667640721
301,amapa,1.0,-52.0,294.58,99,69,0.44,BR,1667640723
302,kieta,-6.2167,155.6333,299.23,85,100,1.75,PG,1667640724
303,antofagasta,-23.65,-70.4,288.75,84,47,2.29,CL,1667640462
304,broome,42.2506,-75.833,290.59,82,100,3.6,US,1667640727
305,alfredo baquerizo moreno,-1.9167,-79.5167,293.14,81,59,1.48,EC,1667640728
306,labuhan,-6.8844,112.2051,302.09,72,100,2.4,ID,1667640730
307,nelson bay,-32.7167,152.15,291.48,83,0,5.36,AU,1667640731
308,novobirilyussy,56.9514,90.6661,271.35,81,95,2.11,RU,1667640732
309,lorengau,-2.0226,147.2712,301.48,72,99,2.02,PG,1667640734
310,olafsvik,64.8945,-23.7142,278.06,70,100,6.62,IS,1667640735
311,bida,9.0833,6.0167,306.16,29,72,1.31,NG,1667640737
312,sambava,-14.2667,50.1667,299.91,65,88,4.76,MG,1667640740
313,necochea,-38.5473,-58.7368,284.18,85,6,5.68,AR,1667640604
314,omboue,-1.5746,9.2618,301.76,70,54,2.28,GA,1667640743
315,ponta do sol,32.6667,-17.1,296.49,84,82,2.09,PT,1667640745
316,buala,-8.145,159.5921,299.94,80,100,2.21,SB,1667640747
317,taormina,37.8536,15.2885,293.27,59,65,1.53,IT,1667640750
318,rajakhera,26.8961,78.1714,304.27,34,3,2.12,IN,1667640751
319,rio grande,-32.035,-52.0986,290.04,81,1,5.48,BR,1667640752
320,narsaq,60.9167,-46.05,274.27,77,97,2.99,GL,1667640754
321,kawalu,-7.3817,108.2082,296.5,97,100,0.53,ID,1667640755
322,severodvinsk,64.5635,39.8302,274.21,88,99,4.97,RU,1667640467
323,adolfo lopez mateos,28.4667,-107.3,276.59,59,0,0.74,MX,1667640758
324,pueblo,38.2545,-104.6091,280.57,68,0,1.54,US,1667640709
325,kahului,20.8947,-156.47,301.16,64,20,3.58,US,1667640761
326,viransehir,37.2353,39.7631,294.89,28,0,3.48,TR,1667640762
